時点,年齢（歳）,男（人）,女（人）
2023/1/1,0,1183,1102
2023/1/1,1,1175,1148
2023/1/1,2,1249,1246
2023/1/1,3,1304,1270
2023/1/1,4,1368,1370
2023/1/1,5,1384,1351
2023/1/1,6,1437,1283
2023/1/1,7,1508,1405
2023/1/1,8,1493,1398
2023/1/1,9,1550,1439
2023/1/1,10,1519,1411
2023/1/1,11,1512,1393
2023/1/1,12,1601,1436
2023/1/1,13,1377,1486
2023/1/1,14,1525,1404
2023/1/1,15,1485,1390
2023/1/1,16,1488,1451
2023/1/1,17,1389,1362
2023/1/1,18,1451,1453
2023/1/1,19,1443,1435
2023/1/1,20,1537,1483
2023/1/1,21,1648,1556
2023/1/1,22,1680,1569
2023/1/1,23,1616,1652
2023/1/1,24,1617,1586
2023/1/1,25,1496,1483
2023/1/1,26,1516,1554
2023/1/1,27,1430,1506
2023/1/1,28,1506,1563
2023/1/1,29,1477,1506
2023/1/1,30,1468,1541
2023/1/1,31,1531,1534
2023/1/1,32,1443,1545
2023/1/1,33,1529,1562
2023/1/1,34,1580,1594
2023/1/1,35,1616,1626
2023/1/1,36,1638,1701
2023/1/1,37,1766,1791
2023/1/1,38,1866,1875
2023/1/1,39,1860,1909
2023/1/1,40,1835,1877
2023/1/1,41,1891,1968
2023/1/1,42,1879,1987
2023/1/1,43,1989,2019
2023/1/1,44,2045,2074
2023/1/1,45,2087,2135
2023/1/1,46,2070,2166
2023/1/1,47,2107,2247
2023/1/1,48,2327,2331
2023/1/1,49,2327,2286
2023/1/1,50,2206,2177
2023/1/1,51,2121,2210
2023/1/1,52,1936,2157
2023/1/1,53,2098,2091
2023/1/1,54,1959,2055
2023/1/1,55,1962,2198
2023/1/1,56,1486,1572
2023/1/1,57,1813,2016
2023/1/1,58,1742,1965
2023/1/1,59,1700,1803
2023/1/1,60,1695,1818
2023/1/1,61,1650,1788
2023/1/1,62,1677,1902
2023/1/1,63,1738,1868
2023/1/1,64,1711,1893
2023/1/1,65,1676,1791
2023/1/1,66,1693,1874
2023/1/1,67,1852,1969
2023/1/1,68,1789,2003
2023/1/1,69,1813,2093
2023/1/1,70,1912,2126
2023/1/1,71,2060,2228
2023/1/1,72,2032,2440
2023/1/1,73,2289,2558
2023/1/1,74,2164,2486
2023/1/1,75,1938,2422
2023/1/1,76,1249,1677
2023/1/1,77,1021,1390
2023/1/1,78,1263,1777
2023/1/1,79,1220,1729
2023/1/1,80,1213,1630
2023/1/1,81,1192,1701
2023/1/1,82,1021,1619
2023/1/1,83,847,1438
2023/1/1,84,757,1224
2023/1/1,85,807,1474
2023/1/1,86,609,1221
2023/1/1,87,635,1311
2023/1/1,88,495,1074
2023/1/1,89,439,983
2023/1/1,90,377,908
2023/1/1,91,229,729
2023/1/1,92,202,637
2023/1/1,93,164,542
2023/1/1,94,116,446
2023/1/1,95,95,323
2023/1/1,96,64,275
2023/1/1,97,43,200
2023/1/1,98,30,145
2023/1/1,99,15,117
2023/1/1,100,6,79
2023/1/1,101,6,54
2023/1/1,102,2,36
2023/1/1,103,1,17
2023/1/1,104,0,7
2023/1/1,105,0,3
2023/1/1,106,0,7
2023/1/1,107,0,1
2023/1/1,108,0,0
2023/1/1,109,0,0
2023/1/1,110,0,0
2023/1/1,111,0,0
2023/1/1,112,0,0
2023/1/1,113,0,0
2023/1/1,114,0,0
2023/1/1,115,0,0
2023/1/1,116,0,0
2023/1/1,117,0,0
2023/1/1,118,0,0
2023/1/1,119,0,0
2023/1/1,120,0,0
2023/2/1,0,1180,1064
2023/2/1,1,1185,1150
2023/2/1,2,1218,1231
2023/2/1,3,1343,1296
2023/2/1,4,1336,1345
2023/2/1,5,1380,1349
2023/2/1,6,1439,1293
2023/2/1,7,1492,1397
2023/2/1,8,1506,1391
2023/2/1,9,1549,1449
2023/2/1,10,1523,1404
2023/2/1,11,1531,1395
2023/2/1,12,1579,1438
2023/2/1,13,1387,1474
2023/2/1,14,1516,1425
2023/2/1,15,1494,1378
2023/2/1,16,1499,1437
2023/2/1,17,1364,1368
2023/2/1,18,1479,1454
2023/2/1,19,1438,1427
2023/2/1,20,1533,1476
2023/2/1,21,1640,1567
2023/2/1,22,1639,1547
2023/2/1,23,1503,1613
2023/2/1,24,1547,1582
2023/2/1,25,1469,1498
2023/2/1,26,1521,1536
2023/2/1,27,1412,1510
2023/2/1,28,1504,1542
2023/2/1,29,1476,1521
2023/2/1,30,1471,1521
2023/2/1,31,1516,1543
2023/2/1,32,1478,1515
2023/2/1,33,1483,1577
2023/2/1,34,1604,1621
2023/2/1,35,1604,1614
2023/2/1,36,1634,1678
2023/2/1,37,1755,1787
2023/2/1,38,1838,1864
2023/2/1,39,1888,1923
2023/2/1,40,1852,1860
2023/2/1,41,1887,1986
2023/2/1,42,1869,1951
2023/2/1,43,1949,2019
2023/2/1,44,2063,2075
2023/2/1,45,2073,2137
2023/2/1,46,2085,2134
2023/2/1,47,2069,2267
2023/2/1,48,2319,2328
2023/2/1,49,2339,2294
2023/2/1,50,2199,2188
2023/2/1,51,2147,2194
2023/2/1,52,1933,2172
2023/2/1,53,2069,2075
2023/2/1,54,1971,2093
2023/2/1,55,1960,2149
2023/2/1,56,1534,1650
2023/2/1,57,1782,1959
2023/2/1,58,1751,1984
2023/2/1,59,1690,1804
2023/2/1,60,1659,1813
2023/2/1,61,1691,1794
2023/2/1,62,1662,1888
2023/2/1,63,1717,1840
2023/2/1,64,1706,1922
2023/2/1,65,1667,1753
2023/2/1,66,1726,1887
2023/2/1,67,1815,1911
2023/2/1,68,1803,2024
2023/2/1,69,1789,2075
2023/2/1,70,1875,2119
2023/2/1,71,2074,2239
2023/2/1,72,2039,2375
2023/2/1,73,2222,2561
2023/2/1,74,2209,2519
2023/2/1,75,1965,2415
2023/2/1,76,1357,1790
2023/2/1,77,960,1356
2023/2/1,78,1245,1737
2023/2/1,79,1217,1737
2023/2/1,80,1197,1664
2023/2/1,81,1190,1645
2023/2/1,82,1044,1629
2023/2/1,83,863,1456
2023/2/1,84,756,1219
2023/2/1,85,784,1475
2023/2/1,86,618,1231
2023/2/1,87,618,1283
2023/2/1,88,519,1103
2023/2/1,89,429,992
2023/2/1,90,372,906
2023/2/1,91,248,731
2023/2/1,92,202,650
2023/2/1,93,161,541
2023/2/1,94,124,443
2023/2/1,95,92,337
2023/2/1,96,69,279
2023/2/1,97,41,199
2023/2/1,98,32,145
2023/2/1,99,14,110
2023/2/1,100,7,80
2023/2/1,101,6,64
2023/2/1,102,3,31
2023/2/1,103,0,18
2023/2/1,104,0,7
2023/2/1,105,0,4
2023/2/1,106,0,7
2023/2/1,107,0,1
2023/2/1,108,0,0
2023/2/1,109,0,0
2023/2/1,110,0,0
2023/2/1,111,0,0
2023/2/1,112,0,0
2023/2/1,113,0,0
2023/2/1,114,0,0
2023/2/1,115,0,0
2023/2/1,116,0,0
2023/2/1,117,0,0
2023/2/1,118,0,0
2023/2/1,119,0,0
2023/2/1,120,0,0
2023/3/1,0,1186,1068
2023/3/1,1,1189,1161
2023/3/1,2,1215,1178
2023/3/1,3,1323,1327
2023/3/1,4,1334,1324
2023/3/1,5,1362,1371
2023/3/1,6,1446,1284
2023/3/1,7,1479,1379
2023/3/1,8,1533,1411
2023/3/1,9,1522,1444
2023/3/1,10,1541,1395
2023/3/1,11,1541,1414
2023/3/1,12,1578,1437
2023/3/1,13,1387,1477
2023/3/1,14,1506,1401
2023/3/1,15,1490,1395
2023/3/1,16,1511,1456
2023/3/1,17,1385,1353
2023/3/1,18,1477,1442
2023/3/1,19,1416,1425
2023/3/1,20,1546,1493
2023/3/1,21,1614,1544
2023/3/1,22,1639,1545
2023/3/1,23,1510,1601
2023/3/1,24,1539,1602
2023/3/1,25,1482,1511
2023/3/1,26,1514,1497
2023/3/1,27,1399,1510
2023/3/1,28,1504,1532
2023/3/1,29,1473,1515
2023/3/1,30,1478,1537
2023/3/1,31,1492,1541
2023/3/1,32,1506,1527
2023/3/1,33,1456,1549
2023/3/1,34,1613,1605
2023/3/1,35,1602,1622
2023/3/1,36,1621,1690
2023/3/1,37,1739,1763
2023/3/1,38,1829,1862
2023/3/1,39,1882,1920
2023/3/1,40,1849,1847
2023/3/1,41,1894,1963
2023/3/1,42,1839,1955
2023/3/1,43,1943,2040
2023/3/1,44,2060,2059
2023/3/1,45,2069,2129
2023/3/1,46,2091,2129
2023/3/1,47,2073,2257
2023/3/1,48,2310,2311
2023/3/1,49,2325,2304
