全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
272035,0000000001,大阪府豊中市,石造三重宝篋印塔,セキゾウサンジュウホウキョウイントウ,,,旧法指定（重要美術品）,建造物,,272035,,大阪府豊中市熊野町3-10-1,大阪府,豊中市,熊野町3,10-1,,34.79119,135.483994,,,,,,,,,,,,,12924,,,,,,,,,,,,
272035,0000000002,大阪府豊中市,金禅寺三重宝篋印塔,コンゼンジサンジュウホウキョウイントウ,,,重要文化財,建造物,,272035,,大阪府豊中市本町5-3-64,大阪府,豊中市,本町5,3-64,,34.789228,135.466023,,,,,,,,,,,,,22363,,,,,,,,,,,,
272035,0000000003,大阪府豊中市,旧泉家住宅,キュウイズミケジュウタク,,,重要文化財,建造物,日本民家集落博物館,272035,,大阪府豊中市服部緑地1-2,大阪府,豊中市,服部緑地,1-2,,34.778738,135.48823,,,,,,,,,,,,,23526,,,,,,,,,,,,
272035,0000000004,大阪府豊中市,旧山田家住宅,キュウヤマダケジュウタク,,,重要文化財,建造物,日本民家集落博物館,272035,,大阪府豊中市服部緑地1-2,大阪府,豊中市,服部緑地,1-2,,34.779323,135.488834,,,,,,,,,,,,,23526,,,,,,,,,,,,
272035,0000000005,大阪府豊中市,旧椎葉家住宅,キュウシイバケジュウタク,,,重要文化財,建造物,日本民家集落博物館,272035,,大阪府豊中市服部緑地1-2,大阪府,豊中市,服部緑地,1-2,,34.779224,135.488232,,,,,,,,,,,,,23526,,,,,,,,,,,,
272035,0000000006,大阪府豊中市,原田神社本殿,ハラダジンジャホンデン,,,重要文化財,建造物,,272035,,大阪府豊中市中桜塚1-2-18,大阪府,豊中市,中桜塚1,2-18,,34.779437,135.465864,,,,,,,,,,,,,34312,,,,,,,,,,,,
272035,0000000007,大阪府豊中市,紙本著色三十六歌仙切,シホンチョショクサンジュウロッカセンギレ,,,重要文化財,美術工芸品,,272035,,大阪府豊中市本町5-11-19,大阪府,豊中市,本町5,11-19,,,,,,,,,,,,,,,,18504,,,,,,,,,,,,
272035,0000000008,大阪府豊中市,紙本金地著色仙人掌群鶏図,シホンキンジチョショクサボテングンケイズ,,,重要文化財,美術工芸品,,272035,,大阪府豊中市小曽根1-6-38,大阪府,豊中市,小曽根1,6-38,,34.762712,135.485113,,,,,,,,,,,,,19194,,,,,,,,,,,,
272035,0000000009,大阪府豊中市,紙本墨画蓮池図,シホンボクガレンチズ,,,重要文化財,美術工芸品,,272035,,大阪府豊中市小曽根1-6-38,大阪府,豊中市,小曽根1,6-38,,34.762712,135.485113,,,,,,,,,,,,,19194,,,,,,,,,,,,
272035,0000000010,大阪府豊中市,木造釈迦如来坐像,モクゾウシャカニョライザゾウ,,,重要文化財,美術工芸品,,272035,,大阪府豊中市南桜塚1-12-7,大阪府,豊中市,南桜塚1,12-7,,34.774886,135.467982,,,,,,,,,,,,,18504,,,,,,,,,,,,
