局番号,観測所名,観測時刻,10分雨量[mm],10分雨量フラグ,60分雨量[mm],60分雨量フラグ,24時間雨量[mm],24時間雨量フラグ,累加雨量[mm],累加雨量フラグ,降雨（累加雨量）開始時刻,降雨（累加雨量）開始時刻フラグ
1,森本,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
2,伊府,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
3,出石,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
4,城崎,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
5,青垣,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
6,国領,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
7,美方,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
8,石橋,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
9,仁井,2023/11/27 03:30,,190,,190,,190,,190,,190
10,諭鶴羽ダム,2023/11/27 03:30,,190,,190,,190,,190,,190
11,諭鶴羽,2023/11/27 03:30,,140,,140,,140,,140,,140
12,掃守,2023/11/27 03:30,,190,,190,,190,,190,,190
13,千種,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
14,上石井,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
15,三河,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
16,三日月,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
17,円光寺,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
18,矢野,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
19,木津,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
20,安室ダム,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
21,安富ダム,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
22,引原ダム,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
23,戸倉,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
24,三軒家,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
25,長谷ダム,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
26,菅生ダム,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
27,夢前,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
28,生野ダム,2023/11/27 03:30,0.0,0,0.0,0,1.0,0,0.0,0,,170
29,黒川,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
30,越知,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
31,神崎,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
32,福崎,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
33,志方,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
34,稲美,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
35,加古川,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
36,藤原橋,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
37,明石,2023/11/27 03:30,,130,,130,,130,,130,,130
38,青野ダム,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
39,母子,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
40,古市,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
41,宝塚,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
42,有野,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
43,天王ダム,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
44,豊岡,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
45,八鹿,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
46,浜坂,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
47,洲本,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
48,上郡,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
49,龍野,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
50,姫路,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
51,神戸,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
52,西宮,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
53,佐用雨量,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
54,相生,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
55,山崎,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
56,淡河,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
57,住吉,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
58,伊丹,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
59,多田院,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
60,牛内ダム,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
61,大河内,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
62,下牛尾,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
63,伊勢,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
64,砥堀,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
65,下手野,2023/11/27 03:30,,190,,190,,190,,190,,190
66,但東,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
67,朝来,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
68,和田山,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
69,関宮,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
70,柏原,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
71,大屋,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
72,大日ダム,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
73,分水堰,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
74,中町,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
75,社,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
76,加西,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
77,小野,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
78,三木,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
79,西脇,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
81,吉川,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
82,大路ダム,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
83,篠山,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
84,今田,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
85,東本荘,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
86,湯舟,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
87,藪崎,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
88,香住,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
89,温泉,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
90,郡家,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
91,志筑,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
92,成相ダム,2023/11/27 03:30,,190,,190,,190,,190,,190
93,北富士ダム,2023/11/27 03:30,,190,,190,,190,,190,,190
94,勝原,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
95,足尾,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
96,上越知,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
97,菅生澗,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
98,坂根,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
99,竹野,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
100,八原,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
101,市島,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
102,山南,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
103,莇野,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
104,若草東,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
105,折方,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
106,対田,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
107,佐津,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
108,村岡事業所,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
109,諸寄,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
110,久斗山,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
111,鎧,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
112,畑,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
113,多子,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
114,佐坊,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
115,森脇,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
116,長瀬,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
117,植物園,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
118,木見,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
119,馬瀬,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
120,加美,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
121,下野間,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
122,中畑,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
123,桃津,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
124,青田,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
125,桑原,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
126,稲継,2023/11/27 03:30,0.0,0,0.0,0,0.0,0,0.0,0,,170
