"年度[西暦]","行政人口[人]","処理区域内人口[人]","水洗化人口[人]","普及率[%]","水洗化率[%]","整備面積[ha]"
"2008","115970","58961","50880","50.8","86.3","1990.9"
"2009","116739","59491","51509","51.0","86.6","2007.5"
"2010","117337","60527","52474","51.6","86.7","2032.1"
"2011","117179","61676","53647","52.6","87.0","2095.6"
"2012","118761","63363","55479","53.4","87.6","2186.2"
"2013","118573","64028","56370","54.0","88.0","2205.5"
"2014","118351","64303","57025","54.3","88.7","2237.3"
"2015","118076","64668","57766","54.8","89.3","2260.8"
"2016","117846","64897","58472","55.1","90.1","2287.0"
"2017","117656","64926","58875","55.3","90.7","2309.1"
"2018","117375","65079","59443","55.4","91.3","2322.9"
"2019","117313","65455","59900","55.8","91.5","2330.8"
"2020","117016","66336","61479","56.7","92.7","2344.0"
"2021","116762","66922","61846","57.3","92.4","2361.0"
