NO,名称,名称_カナ,住所,方書,緯度,経度,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,指定避難所との重複,福祉避難所,想定収容人数,URL,備考
0110000001,宮地小学校,ミヤジショウガッコウ,岐阜県揖斐郡池田町宮地864,,35.455626,136.550567,0585-45-3100,,214043,岐阜県,池田町,1,,104,http://school.town.ikeda.gifu.jp/miyaji-es/,
0110000002,宮地公民館,ミヤジコウミンカン,岐阜県揖斐郡池田町宮地864-14,,35.455477,136.549867,0585-45-7423,,214043,岐阜県,池田町,0,,44,https://www.town.gifu-ikeda.lg.jp/category/2-4-4-6-0.html,
0110000003,養基小学校,ヤギショウガッコウ,岐阜県揖斐郡池田町田中555,,35.467047,136.569468,0585-45-3105,,214043,岐阜県,池田町,1,,195,http://school.town.ikeda.gifu.jp/yagi-es/,
0110000004,養基公民館,ヤギコウミンカン,岐阜県揖斐郡池田町粕ヶ原568-2,,35.463834,136.561954,0585-45-6926,,214043,岐阜県,池田町,0,,63,https://www.town.gifu-ikeda.lg.jp/category/2-4-4-7-0.html,
0110000005,温知小学校,オンチショウガッコウ,岐阜県揖斐郡池田町本郷1267,,35.443534,136.568999,0585-45-3166,,214043,岐阜県,池田町,1,,210,http://school.town.ikeda.gifu.jp/onchi-es/,
0110000006,ゆうごう・ほっと館,ユウゴウ・ホットカン,岐阜県揖斐郡池田町本郷1190-1,,35.443172,136.567203,0585-45-5010,,214043,岐阜県,池田町,0,,40,https://www.town.gifu-ikeda.lg.jp/category/2-4-4-8-0-0-0-0-0-0.html,
0110000007,池田中学校,イケダチュウガッコウ,岐阜県揖斐郡池田町草深485-1,,35.441436,136.560976,0585-45-3188,,214043,岐阜県,池田町,1,,406,http://school.town.ikeda.gifu.jp/ikeda-jh/,
0110000008,総合体育館,ソウゴウタイイクカン,岐阜県揖斐郡池田町小寺722-1,,35.366287,136.640563,0585-45-8711,,214043,岐阜県,池田町,0,,659,https://www.town.gifu-ikeda.lg.jp/category/2-4-2-1-0-0-0-0-0-0.html,
0110000009,西公民館,ニシコウミンカン,岐阜県揖斐郡池田町田畑186-2,,35.791804,136.906884,0585-45-7424,,214043,岐阜県,池田町,0,,55,https://www.town.gifu-ikeda.lg.jp/category/2-4-4-3-0.html,
0110000010,青少年研修施設,セイショウネンシュクハクケンシュウシセツ,岐阜県揖斐郡池田町山洞276,,35.433986,136.558758,0585-45-8718,,214043,岐阜県,池田町,0,,67,https://www.town.gifu-ikeda.lg.jp/category/2-4-4-8-0-0-0-0-0-0.html,
0110000011,池田小学校,イケダショウガッコウ,岐阜県揖斐郡池田町上田1160-1,,35.334075,137.103561,0585-45-2681,,214043,岐阜県,池田町,1,,171,http://school.town.ikeda.gifu.jp/ikeda-es/,
0110000012,東公民館,ヒガシコウミンカン,岐阜県揖斐郡池田町上田1160-3,,35.7186,137.135986,0585-45-6712,,214043,岐阜県,池田町,0,,81,https://www.town.gifu-ikeda.lg.jp/category/2-4-4-4-0.html,
0110000013,中央公民館,チュウオウコウミンカン,岐阜県揖斐郡池田町六之井1455-1,,35.373777,136.760798,0585-45-7110,,214043,岐阜県,池田町,1,,193,https://www.town.gifu-ikeda.lg.jp/category/2-4-4-2-0.html,
0110000014,中公民館,ナカコウミンカン,岐阜県揖斐郡池田町六之井1480-1,,35.442427,136.571208,0585-45-8182,,214043,岐阜県,池田町,0,,110,https://www.town.gifu-ikeda.lg.jp/category/2-4-4-2-0.html,
0110000015,八幡小学校,ヤワタショウガッコウ,岐阜県揖斐郡池田町八幡753,,35.420878,136.57505,0585-45-3106,,214043,岐阜県,池田町,1,,195,http://school.town.ikeda.gifu.jp/yawata-es/,
0110000016,八幡公民館,ヤワタコウミンカン,岐阜県揖斐郡池田町片山649,,35.754315,136.95684,0585-45-3101,,214043,岐阜県,池田町,0,,79,https://www.town.gifu-ikeda.lg.jp/category/2-4-4-5-0.html,
0110000017,池田高等学校,イケダコウトウガッッコウ,岐阜県揖斐郡池田町六之井242-1,,,,0582-45-7755,,214043,岐阜県,池田町,1,,60,https://school.gifu-net.ed.jp/wordpress/ikeda-hs/,
