Å@,é©é°ëÃñº,ínì_ñº,îN,èT,êVå^ÉRÉçÉiÉEÉCÉãÉXä¥êıè«,ÉCÉìÉtÉãÉGÉìÉU,ÇqÇrÉEÉCÉãÉXä¥êıè«,àÙì™åãñåîM,Ç`åQónååê´ÉåÉìÉTãÖã€àÙì™âä,ä¥êıê´à›í∞âä,êÖìó,éËë´å˚ïa,ì`êıê´çgî¡,ìÀî≠ê´î≠ÇµÇÒ,ÉwÉãÉpÉìÉMÅ[Éi,ó¨çsê´é®â∫ëBâä,ã}ê´èoååê´åãñåâä,ó¨çsê´äpåãñåâä,ç◊ã€ê´êëñåâä,ñ≥ã€ê´êëñåâä,É}ÉCÉRÉvÉâÉYÉ}îxâä,ÉNÉâÉ~ÉWÉAîxâä,ä¥êıê´à›í∞âäÅiÉçÉ^ÉEÉCÉãÉXÅj
401005,ñkã„èBés,ñkã„èBés,2020,1,,34.74,0.25,0.21,1.13,3.54,0.5,0,0.29,0.17,0.04,0.13,0,0,0,0,0.5,0,0
401005,ñkã„èBés,ñkã„èBés,2020,2,,25.63,0.21,0.38,1.75,13.79,0.71,0.17,1.54,0.42,0,0.04,0,0.17,0,0,1,0,0
401005,ñkã„èBés,ñkã„èBés,2020,3,,35.03,0.46,0.29,2.46,11.96,0.25,0.17,1.17,0.42,0.04,0.08,0,0,0,0,0.5,0,0
401005,ñkã„èBés,ñkã„èBés,2020,4,,32.89,0.33,0.33,2.42,11.92,0.46,0.13,1.46,0.38,0,0.17,0,0.5,0,0,0.5,0,0
401005,ñkã„èBés,ñkã„èBés,2020,5,,22.77,0.63,0.29,3.13,9.04,0.46,0,0.58,0.33,0,0,0,0.33,0,0,0.5,0,0
401005,ñkã„èBés,ñkã„èBés,2020,6,,13.26,0.38,0.25,2.42,7,0.38,0.08,0.88,0.33,0,0.08,0,1,0,0,0,0,0
401005,ñkã„èBés,ñkã„èBés,2020,7,,7.37,0.21,0.17,2.75,9.04,0.25,0.29,0.29,0.5,0,0,0,0.5,0,0,1,0,0
401005,ñkã„èBés,ñkã„èBés,2020,8,,5.63,0.38,0.58,3.21,8.58,0.42,0.04,0.46,0.67,0,0.13,0,0.67,0,0,2,0,0
401005,ñkã„èBés,ñkã„èBés,2020,9,,2.74,0.5,0.25,2.38,6.54,0.58,0,0.79,0.29,0,0.13,0,0,0,0,0,0,0
401005,ñkã„èBés,ñkã„èBés,2020,10,,2.46,0.63,0.25,3.67,5.58,0.42,0.08,0.67,0.46,0,0.17,0,0,0,0,2.5,0,0
401005,ñkã„èBés,ñkã„èBés,2020,11,,0.63,0.54,0.25,1.92,4.21,0.38,0.04,0.54,0.25,0,0.17,0,0.17,0,0,1,0,0
401005,ñkã„èBés,ñkã„èBés,2020,12,,0.34,0.21,0.21,1.33,3.63,0.38,0.04,0.38,0.63,0.04,0.13,0,0,0,0,0.5,0,0
401005,ñkã„èBés,ñkã„èBés,2020,13,,0,0.29,0.17,1.04,4.29,0.13,0.21,0.21,0.42,0.08,0,0,0.17,0,0,1.5,0,0
401005,ñkã„èBés,ñkã„èBés,2020,14,,0.03,0.42,0.29,1.46,4.5,0.25,0.08,0.38,0.33,0.25,0.04,0,0,0,0,0.5,0,0
401005,ñkã„èBés,ñkã„èBés,2020,15,,0,0.17,0.08,0.79,3.13,0.08,0.04,0.13,0.33,0.17,0.04,0,0.33,0,0,0.5,0,0
401005,ñkã„èBés,ñkã„èBés,2020,16,,0,0.04,0.17,0.58,3.33,0.21,0.04,0.13,0.54,0.29,0.13,0,0.17,0.5,0,0,0,0
401005,ñkã„èBés,ñkã„èBés,2020,17,,0,0,0.04,0.5,2.46,0.17,0.04,0.13,0.29,0.04,0.04,0,0,0,0,0,0,0
