"施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"ハチドリ鍼灸院","東京都港区赤坂一丁目1番17号","細川ビル412",,"2015/9/29","あん摩、はり、きゅう","35.670979","139.743988"
"溜池治療院","東京都港区赤坂一丁目5番15号","溜池アネックス4階","03-5572-8218","2005/4/15","あん摩、はり、きゅう","35.670637","139.743149"
"株式会社セゾン情報システムズ","東京都港区赤坂一丁目8番1号","赤坂インターシティAIR19階","03-6370-2000","2017/11/20","あん摩、はり、きゅう","35.669827","139.742197"
"スカパーＪＳＡＴ　Ｈｅａｌｉｎｇ　Ｓｐａｃｅ","東京都港区赤坂一丁目8番1号","赤坂インターシティAir12階","03-5771-7800","2018/9/10","あん摩","35.669827","139.742197"
"アクセンチュア株式会社（赤坂１丁目）","東京都港区赤坂一丁目11番44号","赤坂インターシティ13階","03-3588-3000","2005/5/9","あん摩、はり、きゅう","35.668899","139.742543"
"株式会社ワークスアプリケーションズ","東京都港区赤坂一丁目12番32号","アーク森ビル19階","03-6229-1200","2004/3/8","あん摩、はり、きゅう","35.667113","139.740135"
"あん摩・マッサージ・指圧ＦＩＥＬＤ　ＲＩＶＥＲ（フィールドリバー）","東京都港区赤坂二丁目8番2号","エクレシアヒルズ3A",,"2011/3/7","あん摩、はり、きゅう","35.671989","139.740051"
"赤坂鍼療院","東京都港区赤坂二丁目8番14号","ラミアール赤坂101","03-5809-1186","2009/9/30","はり、きゅう","35.671607","139.740115"
"虎ノ門ＳＢＭ鍼灸院","東京都港区赤坂二丁目8番14号","丸玉第3ビル601号","03-6441-0647","2018/11/8","はり、きゅう","35.671661","139.739992"
"たんぽぽ治療院","東京都港区赤坂二丁目8番14号","ラミアール赤坂605","03-5563-1210","2002/6/17","あん摩、はり、きゅう","35.671607","139.740115"
"あかさか二丁目鍼灸院","東京都港区赤坂二丁目8番15号","オリエントニュー赤坂101","03-5575-7775","2015/4/21","はり、きゅう","35.671762","139.739876"
"赤坂リバース鍼灸マッサージ院","東京都港区赤坂二丁目12番9号","中村ビル2階","0120-980-572","2010/12/12","あん摩、はり、きゅう","35.671181","139.740326"
"青木治療室","東京都港区赤坂二丁目12番20号","ディアシティ赤坂東館306","03-5562-0221","1998/7/1","あん摩","35.67065","139.740814"
"田中喜美子指圧所","東京都港区赤坂二丁目13番8号","赤坂ロイヤルプラザ404","03-3584-1297","1993/9/10","あん摩","35.672152","139.738658"
"山王鍼灸","東京都港区赤坂二丁目13番8号","ロイヤルプラザ509","03-3583-8088","1982/10/15","はり、きゅう、あん摩","35.672152","139.738658"
"赤坂ＮＥＰ‘Ｓ鍼灸・マッサージ院","東京都港区赤坂二丁目14番33号","栄屋清水ビル301","03-3587-2146","2010/10/1","あん摩、はり、きゅう","35.672798","139.73772"
"株式会社スパイク・チュンソフト　リフレッシュルーム","東京都港区赤坂二丁目17番7号","赤坂溜池タワー5階","03-5575-5670","2013/1/15","あん摩","35.671253","139.739334"
"篠原鍼灸院","東京都港区赤坂二丁目17番52号","グランドメゾン赤坂202","03-3586-8528","2002/8/10","あん摩、はり、きゅう","35.670069","139.738159"
"赤坂なかよし治療院","東京都港区赤坂二丁目17番58号","赤坂福住ビル3階","03-5561-0531","2015/4/6","はり、きゅう、あん摩","35.670576","139.737774"
"聖真堂指圧マッサージ","東京都港区赤坂二丁目17番69号","ムトウコーポ305","03-3588-0781","1998/10/28","あん摩","35.672344","139.739015"
"健康家族　溜池鍼灸院　本院","東京都港区赤坂二丁目19番8‐102号",,"03-5570-7055","2016/11/1","はり、きゅう、あん摩","35.668388","139.739844"
"しん灸　越前谷","東京都港区赤坂二丁目20番16号","第3村嶋ビル1階","050-1474-5383","2018/9/13","はり、きゅう","35.669031","139.738812"
"赤坂針灸院","東京都港区赤坂三丁目6番11号","第100東京ビル5階","03-3505-2716","2009/5/13","あん摩、はり、きゅう","35.673344","139.738373"
"赤坂島田整骨院","東京都港区赤坂三丁目10番5号","赤坂クインビル5階","03-3583-1996","1978/9/25","はり、きゅう","35.675956","139.736921"
"タチバナ治療室","東京都港区赤坂三丁目11番14号","ベルゴ豊栄411","03-3583-1220","1982/3/1","あん摩","35.674637","139.737273"
"グローバル治療院赤坂マッサージ＆鍼灸","東京都港区赤坂三丁目12番22号","竹下ビル1階","03-5575-3939","2013/4/8","あん摩、はり、きゅう","35.674236","139.73764"
"鍼灸サロンＢＯＤＹＦＩＴスポーツ","東京都港区赤坂三丁目13番3号","みすじ313ビル2階","03-6277-8219","2018/6/5","はり、きゅう","35.673375","139.73764"
"Ｗ（ダブリュー）鍼灸所","東京都港区赤坂三丁目13番6号","国際天野ビル6階","03-5575-3433","2011/8/8","はり、きゅう","35.673069","139.73768"
"リンドウー治療院赤坂一ツ木通り店","東京都港区赤坂三丁目15番9号","萬屋ビル3階","03-6459-1483","2016/4/11","あん摩、はり、きゅう","35.674415","139.736565"
"赤坂てんほうスポーツ治療院","東京都港区赤坂三丁目16番5号","ユタカ産業ビル503","03-5545-5267","2011/5/18","あん摩、はり、きゅう","35.674794","139.736662"
"赤坂てんほうスポーツ治療院","東京都港区赤坂三丁目16番5号","ユタカ産業ビル503","03-5545-5267","2020/5/27","はり、きゅう","35.674794","139.736662"
"米澤鍼治療院","東京都港区赤坂三丁目16番5号","ユタカ産業ビル503","03-6277-8363","2008/10/1","はり","35.674794","139.736662"
"エフ、イー・エムサウナ","東京都港区赤坂三丁目16番11号",,"03-3505-4381","2007/1/1","あん摩","35.67569","139.73533"
"鍼灸マッサージ治療院グリュック","東京都港区赤坂三丁目21番5号","三銀ビル106","03-6441-0057","2017/3/27","あん摩、はり、きゅう","35.676791","139.735964"
"ＨＡＬＩＩ　ＴＯＫＹＯ","東京都港区赤坂三丁目21番10号","青明会館3F-B",,"2021/1/10","あん摩、きゅう、はり","35.676436","139.735884"
"赤坂テイクキュア治療院","東京都港区赤坂三丁目21番12号","スリーリバースビル地下1階","03-3586-4588","2007/8/1","あん摩、はり、きゅう","35.676401","139.735774"
